latitude,longitude,name
54.47083785,7.640550826,NO01
54.47099562,7.654650199,NO02
54.47116074,7.668749416,NO03
54.47132421,7.682848774,NO04
54.47147706,7.696948556,NO05
54.47163724,7.711048186,NO06
54.46640267,7.72511504,NO07
54.47194289,7.739170996,NO08
54.46544478,7.640529039,NO09
54.46005171,7.640507245,NO10
54.46021846,7.654602616,NO11
54.46037457,7.66869842,NO12
54.46054702,7.682793781,NO13
54.46070883,7.696889573,NO14
54.46085103,7.710986066,NO15
54.45561644,7.725049207,NO16
54.46116628,7.739162895,NO17
54.45465881,7.640500865,NO18
54.44926556,7.640463639,NO19
54.44943246,7.654570722,NO20
54.44959737,7.668647112,NO21
54.44975183,7.682739347,NO22
54.44991363,7.69683143,NO23
54.45007379,7.710923651,NO24
54.44483918,7.724983084,NO25
54.44388146,7.640441528,NO26
54.43848854,7.640435123,NO27
54.43865508,7.654507676,NO28
54.43881117,7.668596075,NO29
54.4389746,7.682684319,NO30
54.43374326,7.696743475,NO31
54.43928755,7.710861505,NO32
54.43405291,7.724917229,NO33
54.43309545,7.640413296,NO34
54.42770235,7.640391463,NO35
54.42786887,7.654460319,NO36
54.42803393,7.668544726,NO37
54.42818836,7.682629562,NO38
54.422957,7.696685009,NO39
54.42851027,7.710799064,NO40
54.42231823,7.640369326,NO41
54.41692512,7.64034748,NO42
54.41708265,7.65441294,NO43
54.41176471,7.668471014,NO44
54.41741109,7.682574498,NO45
54.41153201,7.640325628,NO46
54.40613889,7.64030377,NO47
54.40629657,7.654380939,NO48
